text,category,priority
I am an international student and my visa documentation is missing a required signature from the university. I have a visa interview today.,Admissions,High
The database access for IEEE Xplore is saying 'Access Denied' even though I am logged in with my university credentials.,Library,Medium
My scholarship was canceled without notice and I cannot afford the remaining tuition due in two days.,Finance,High
I am having trouble connecting my phone to the university's wifi. It's giving me a 'could not connect to network' error message.,Technical,Medium
"I am unable to see my class schedule for next semester, and registration starts in two hours.",Academic,High
how do i change my major from accounting to marketing? i'm only a freshman so i have plenty of time to figure it out.,Academic,Low
There is a massive leak in the student housing bathroom and the water is dripping into the floor below.,Housing,High
hey can u tell me if the library has any copies of the book 'the odyssey' for my class tomorrow morning at 8am? i need it for the quiz.,Library,Medium
I'm having trouble with the air conditioning in the dorm. It's very hot and making it difficult to sleep.,Housing,Medium
"My application to the medical program is missing the clinical hour verification form, which is due in three hours. The portal is glitching.",Admissions,High
how to reset portal password?,Technical,Low
how do i request an official transcript to be sent to another university for my transfer application?,Academic,Low
I noticed that the light in my dorm room is flickering. It's making it very hard to concentrate.,Housing,Low
the wifi in the cafeteria is so slow that I can't even load my student meal card QR code. it takes 5 mins.,Technical,Medium
I AM SO SCARED!! THE ADMISSIONS STATUS PAGE IS GIVING A 404 ERROR AND I'M WAITING ON MY DECISION TODAY!! HELP ME!!,Admissions,Medium
i paid my application fee but i haven't received a confirmation email. it's been two days.,Admissions,Medium
I'm looking for a copy of the book 'Digital Image Processing' but it's currently checked out. Is there a way to request it?,Library,Low
I have an interview today and I can't get my suit out of the laundry room because the door is jammed. It's in 30 minutes!!,Housing,High
URGENT PLEASE!! My student email is full and i can't delete enough emails to receive new ones. I NEED THIS FIXED!!,Technical,Medium
The power is out in my dorm room and I need to study for a test tomorrow.,Housing,High
exam schedule inquiry,Academic,Medium
idk how to check the hours for the student gym. is that handled by housing or admin?,Administration,Low
"Double deduction on the tuition fee portal today. I tried paying my semester dues of 45,000 via the gateway, but the first transaction showed a timeout. I tried again and now both amounts have been debited from my father's bank account. This is our entire savings for the month and we need the extra 45,000 reversed immediately to pay for medical bills. Please verify the transaction IDs and initiate the refund.",Finance,High
"Scholarship disbursement missing for the final semester. My name was on the approved list for the merit-cum-means grant, but the funds haven't hit my bank account. Today is the last date to clear all dues to be eligible for the placement drive starting tomorrow morning. If my balance isn't cleared by 5 PM, I will be blocked from the interview. Please check the disbursement status urgently.",Finance,High
"Hostel fee payment not reflecting on the portal despite successful bank transfer. I have the UTR number and the bank confirmation, but the accounts office still says my 'No Dues' certificate is pending. Curfew for the convocation registration is tonight and I can't apply without this clearance. I've been running between the bank and the finance desk all day with no resolution.",Finance,High
"Wrongful 'Defaulter' tag on my student ID. The system claims I owe 12,000 in library fines and lab breakages from three years ago, which is completely false. Because of this error, my final degree is being withheld and I have a visa interview in two days where I must present my original transcripts. Please clear this ghost balance so I can collect my documents.",Finance,High
Bank loan disbursement rejected due to incorrect university account details. The finance office provided a bank branch code that is no longer active. My education loan has been stalled and the bank says they will cancel the sanction if the correct details aren't provided by this evening. I cannot afford the semester fees out of pocket. I need the corrected bank mandate immediately.,Finance,High
"Convocation fee portal is charging me twice the amount listed in the brochure. Today is the absolute last day to register for the ceremony and I don't have the extra funds. If I don't pay now, I won't get my degree on stage. Please fix the price logic for my roll number before the portal closes at midnight.",Finance,High
"Finance portal showing 'Transaction Failed' but money deducted from UPI. I paid the supplementary exam fee of 1,500 just now. The exam starts in two hours and the invigilator says I need a 'Paid' status to enter the hall. I have the screenshot of the deduction but the system is stuck. Please manually verify and update my status so I don't miss the test.",Finance,High
"Incorrect late fee penalty applied to my account. I paid my dues on the 10th, which was the deadline, but the system recorded it as the 11th and added a 2,000 fine. This fine is preventing me from downloading my hall ticket for tomorrow's external viva. Please remove the penalty and unlock my admit card.",Finance,High
"Urgent: Refund for cancelled course not processed after 6 months. I withdrew from the elective with full approval, but the 8,000 fee is still sitting as a 'Credit' in the portal. I need this money for my commute this week. I've sent ten emails with no response. I am coming to the office today for a cheque or an immediate transfer.",Finance,High
"Financial block on my account prevents me from accessing the LMS for the mid-sem test. The portal says I have an outstanding balance of 500, which is a mistake as I have already cleared all dues. The test starts in 30 minutes. If I can't log in, I'll get a zero. Please clear the block immediately.",Finance,High
"Placement registration blocked due to 'Incomplete Fee' status. My bank statement shows all payments are up to date, but the accounts branch says there's a 50 rupee discrepancy from 2023. This tiny error is stopping me from applying to the Top 3 companies visiting campus tomorrow. Please resolve this technical glitch now.",Finance,High
"Backlog registration fee deducted thrice. The server crashed while I was trying to register for my re-exams. Now 4,500 is gone instead of 1,500. I need those funds back to pay for my mess bill which is due today. Please check the logs and initiate the reversal of the two extra charges.",Finance,High
"Major error in the fee structure for International Students. The portal is calculating my dues in USD but using a conversion rate from five years ago, making it 20% higher than the current market rate. I have to pay by tonight to avoid de-enrollment. Please update the exchange rate logic for the payment gateway.",Finance,High
"NOC not issued due to unverified 'Late Fine'. I cleared all my library and hostel fines last month, but the finance clerk says the 'Sync' hasn't happened. I am graduating and moving out of the state tomorrow morning. I need my No Objection Certificate today or I won't be able to collect my security deposit.",Finance,High
"Transaction ID mismatch for semester payment. I used a third-party app to pay the fees and while the bank says 'Success', the university portal doesn't recognize the ID format. The deadline is in one hour. If it's not resolved, I'll be charged a 5,000 late fine. Please assist in manual mapping.",Finance,High
"Identity theft alert: Someone else used my student ID to pay their fees via a stolen card, and now my account is flagged for fraud. I am being threatened with suspension. I need the finance department to verify the payment source and clear my name before the hearing tomorrow.",Finance,High
"Excess fee payment for the lab component. I accidentally added an extra zero and paid 50,000 instead of 5,000. My parents are extremely upset as this was for our home rent. I need the 45,000 refunded to the source account within 24 hours.",Finance,High
"The university's online payment server is down on the last day of fee submission. Thousands of us are trying to pay but getting 404 errors. If the deadline isn't extended by tonight, we will all be hit with late fines. Please confirm the extension or fix the server.",Finance,High
"Missing mess-off refund from the previous break. I stayed home for a month during the holidays and filed the paperwork, but the credit isn't showing. I need that 3,000 to pay for my current month's food bill or I'll be barred from the mess hall tonight.",Finance,High
"Tuition waiver not applied to my profile. As a staff-child, I am entitled to a 50% discount, but the portal shows the full amount of 1.2 lakhs. The payment link expires this evening. I need the corrected invoice before I can make the payment.",Finance,High
"Bank challan not accepted at the counter. I stood in line for three hours only to be told the format changed this morning. No one informed the students. I have the cash and the old form, and today is the deadline. Please accept the payment or provide a grace period.",Finance,High
"Emergency refund needed for medical withdrawal. My brother is undergoing surgery and I need to withdraw my admission to support my family. Today is the final eligibility day for a full refund. If this isn't processed today, I lose 2 lakhs. Please expedite the file.",Finance,High
"Finance office lost my original demand draft. I submitted it last week for the exam fee and have the receipt, but now they say they can't find it and I need to pay again or I won't be allowed in the exam hall. I cannot afford to pay twice. Please find the DD or accept my receipt as proof.",Finance,High
"System error: Scholarship adjusted against the wrong semester. The 20,000 grant was supposed to cover this semester's tuition, but it was applied to a future semester instead. Now I have a 'Due' of 20,000 and I am being blocked from the library. Please fix the allocation today.",Finance,High
The ATM inside the campus swallowed my card while I was trying to withdraw fee money. The bank branch says they need an official letter from the University Finance Head to release the machine logs and give me my card back. I need this today as all my funds are tied to that account.,Finance,High
"Request for a breakdown of the 'General Amenities' fee. Every year we pay 15,000 for this but there is no transparency on what it covers. The gym is broken and the common rooms are dusty. We would like an itemized list of where this money is being spent before the next installment is due.",Finance,Medium
"The fee receipt generated by the portal is missing the university seal. I need to submit this to my father's office for his HRA and education allowance, but they rejected the current PDF. Can the finance department provide a digitally signed version with the official stamp?",Finance,Medium
"Delay in refunding the caution money for passed-out students. It has been three months since I submitted my bank details for the 10,000 security deposit return. All my batchmates have received theirs but mine is still 'In Process'. Please check the status of my application.",Finance,Medium
"The 'Pay in Installments' option is not appearing on my dashboard. I was told that students with financial difficulties could opt for a 3-part payment plan, but my portal only shows 'Full Payment'. I have already submitted my income certificate to the warden. Please enable the option.",Finance,Medium
"Discrepancy in the fine calculation for late book return. The library says I owe 450, but the finance portal is showing 1,200. I have the return slips showing the actual dates. The accounts branch needs to sync the data with the library system to reflect the correct amount.",Finance,Medium
"Scholarship status remains 'Pending' for over a month. I've submitted all the documents for the state scholarship, but the university hasn't forwarded my application to the government portal yet. If this delay continues, the government portal will close. Please expedite the verification.",Finance,Medium
"The fee payment history on my student profile is incomplete. It shows payments for the 1st and 3rd years, but the 2nd-year data is missing even though I have the physical receipts. This could cause issues during my final clearance next semester. Can you update the digital record?",Finance,Medium
"Inquiry regarding the 'Development Fee' hike. We noticed a 10% increase in the current semester's bill without any prior notice or explanation. As students, we would like to know the reason for this sudden change, especially since the campus facilities remain the same.",Finance,Medium
The ATM on campus has been 'Out of Cash' for three consecutive days. This is the only way for many of us to pay for small expenses and some of the smaller lab fees that are cash-only. Can the finance department coordinate with the bank to ensure it's refilled?,Finance,Medium
Need a duplicate copy of the first-semester fee challan. I lost my original file and the bank requires a copy to process my current loan top-up. The online portal doesn't show records that old. Can the accounts office issue a stamped duplicate this week?,Finance,Medium
"Request to adjust excess mess fees against the next semester's tuition. I have a credit of 4,000 from the last semester and instead of a refund, I'd prefer it to be used to reduce my next bill. I was told I need a written request for this. Please confirm if this is approved.",Finance,Medium
The 'Finance Helpdesk' phone number is never answered. I have been calling for three days to ask about my scholarship status and it just rings or goes to voicemail. It�s very difficult for us to keep visiting the office during lecture hours just for small queries.,Finance,Medium
Inconsistency in the 'Convocation Fee' for regular vs. distance students. Some of my friends are being charged less for the same degree. We need a clear clarification on the pricing policy for the 2025 batch to ensure everyone is being billed fairly.,Finance,Medium
"The online payment gateway charges a 2% convenience fee for credit cards. This adds up to nearly 2,000 rupees on a full semester bill. Are there any plans to introduce a zero-fee payment method like IMPS or a direct university bank transfer for the students?",Finance,Medium
Difficulty in generating a 'No Dues' certificate for a semester break. I am taking a medical leave and need to show I've cleared all finances. The portal says I have 'Library Dues' but the library says I'm clear. This cross-departmental sync is taking forever.,Finance,Medium
"The 'Fee Structure' PDF on the website is outdated. It still shows the 2023 rates, which is confusing for those of us trying to plan our finances for the upcoming year. Can the accounts department upload the 2025-26 fee schedule as soon as possible?",Finance,Medium
Request for a formal letter from the finance office for an external scholarship. The NGO providing my funding needs a letter on university letterhead stating my total annual expenses. I have the format ready. When can I pick this up?,Finance,Medium
"The 'Fine Waiver' request I submitted last week hasn't been processed. I was ill and couldn't pay the mess dues on time, and I provided a doctor's note to the accounts manager. The 500 late fine is still there. Can someone please review the case?",Finance,Medium
Duplicate entry in the 'Misc Fees' section. I've been billed for 'ID Card Replacement' twice this month even though I only requested it once and paid at the counter. Please remove the second charge of 250 from my outstanding balance.,Finance,Medium
"Need clarification on the 'Alumni Fund' charge. I am only in my second year but I see a 1,000 rupee deduction for the alumni association. Is this an annual charge or a one-time thing? It wasn't mentioned in the original prospectus we received.",Finance,Medium
"The bank branch inside the campus is understaffed. During the fee-payment week, the queues are so long that students are missing 2-3 lectures just to get a challan stamped. Can the finance office request the bank to open an extra counter during peak hours?",Finance,Medium
"My 'Fee Receipt' shows the wrong course name. It says 'B.Sc' instead of 'B.Tech', which is causing issues with my education loan provider as they think I've changed my stream. I need a corrected receipt with the right department name.",Finance,Medium
"The 'Direct Debit' setup for my monthly mess bill failed this month. I have enough balance in my account, so the issue might be on the university's end. I don't want to be hit with a late fine for a technical error. Please check the mandate status.",Finance,Medium
Request for a 'Fee Concession' form for siblings studying in the same university. My younger sister just joined the Architecture department and we were told there's a family discount. Where can we download the form and what are the required documents?,Finance,Medium
"The finance portal doesn't allow for partial payments. I want to pay 20,000 now and the rest next week, but the gateway only allows the full amount to be entered. This is a problem for students who are waiting for their parents' salaries to be credited.",Finance,Medium
"Inquiry about the 'Caution Money' interest. Since the university holds our 10,000 deposit for four years, we would like to know if that interest is used for student welfare or if it's credited back to us. This was a point of discussion in the last student council meeting.",Finance,Medium
The 'Late Fee' keeps increasing every day even though the bank was closed for a public holiday. We couldn't make the transfer because the servers were down and the branch was shut. We request a two-day extension on the grace period for the July batch.,Finance,Medium
"My scholarship amount was credited but it's 2,000 less than the sanctioned amount. Is there a processing fee or a tax deduction that I wasn't aware of? I need an itemized statement of the disbursement for my personal records.",Finance,Medium
The 'Online Finance Portal' has a very confusing UI. It's hard to find where the previous semester's receipts are stored. A simple 'Download All' button for the yearly statements would be very helpful for our income tax filings.,Finance,Medium
Request to update the bank account details for my stipend. I have closed my old account and need the research grant to be sent to my new IDFC account from next month. I have the cancelled cheque and the bank passbook copy ready.,Finance,Medium
"Inconsistency in the mess bill for vegetarians. I noticed that the monthly charge is the same for everyone, regardless of whether we opt for the non-veg special meals. Can we have a tiered billing system that reflects our actual consumption?",Finance,Medium
"The 'No Dues' clearance for the sports department is not reflecting in the finance system. I returned all my equipment last Friday but my portal still shows an outstanding amount of 2,500. Please sync the records so I can register for exams.",Finance,Medium
I was charged a 'Convenience Fee' for an offline cash deposit at the bank. I thought these charges were only for online transactions. Can the finance branch clarify if this is a new policy for the current academic year?,Finance,Medium
Request for a fee estimate for the next academic year. I need to apply for a bank loan extension and they require an official projected cost for tuition and hostel. Who should I contact to get this document stamped?,Finance,Medium
Need an explanation for the 'Insurance Premium' deduction. I noticed a 500 rupee charge for student insurance but I never received any policy documents or details on what it covers. Can the accounts office send us the digital policy copy?,Finance,Medium
"The ink on the printed fee receipts is very faint. By the time the semester ends, the text is almost invisible. It would be better if the finance office used higher-quality printers or gave us a digital copy alongside the physical one.",Finance,Low
Suggestion for an 'Auto-Pay' feature for the monthly mess bills. It�s a bit of a hassle to log in every month just to pay a small amount. A recurring payment option through UPI or Net Banking would be a great convenience for everyone.,Finance,Low
"The lighting in the accounts office waiting area is a bit dim. When we are trying to fill out the challan forms, it�s hard to see the small text. Adding one or two extra lights would make the process much easier for us.",Finance,Low
Could we have a 'Fee Calculator' on the university website? Sometimes it's hard to figure out the total amount including labs and electives. A simple tool where we select our branch and semester would be very useful.,Finance,Low
The notice regarding the 'Exam Fee' was posted very late on the bulletin board. Most of us only saw it a day before the deadline. It would be better if these announcements were sent via SMS or app notification as well.,Finance,Low
"Request for a small table near the bank counter. Currently, there is nowhere to keep our bags or files while we are filling out the deposit slips. A simple standing desk would make the queue much more organized.",Finance,Low
The 'Finance Section' on the student app is quite slow. It takes a long time to load the payment history. A quick optimization update for the mobile version of the portal would be appreciated by the student community.,Finance,Low
Can the university start accepting international cards for the application fees? I have a foreign-exchange card from my travel and it would be easier to use that than to keep converting currency for small academic charges.,Finance,Low
"The 'Fee Payment' window is only open from 10 AM to 3 PM. Since most of us have labs during these hours, it�s hard to visit the office. Extending the window by just one hour until 4 PM would be a huge help.",Finance,Low
The digital display showing the token numbers in the finance lobby is flickering. It makes it hard to know whose turn it is. It probably just needs a loose cable to be tightened or the screen replaced.,Finance,Low
"Suggestion to add a 'Frequently Asked Questions' section for scholarships on the portal. Many of us have the same questions about eligibility and deadlines, and a simple FAQ page would save a lot of time for the staff.",Finance,Low
"The water cooler near the finance office is often out of paper cups in the afternoon. Since students spend a lot of time waiting in line there, it would be nice if the supplies were restocked more frequently.",Finance,Low
"Can we have a separate 'Fast Track' line for students who just need to pick up a pre-printed receipt? Currently, everyone stands in the same queue regardless of whether they are paying or just collecting a document.",Finance,Low
The 'Scholarship Notification' emails sometimes end up in the spam folder because of the sender's address. Maybe the university can use a more recognized domain so we don't miss out on important financial deadlines.,Finance,Low
Request for a few more pens to be kept at the challan counter. Often there are none available and we have to keep asking other students. It�s a small thing but it would make the experience smoother for everyone.,Finance,Low
The chairs in the finance waiting area are quite old and some are broken. Replacing them with a few rows of sturdy benches would provide more seating for the students during the busy admission weeks.,Finance,Low
The 'Transaction Fee' for various online modes isn't clearly listed before we reach the final payment page. It would be better to see the comparison of charges upfront.,Finance,Low
"Suggestion for a digital 'Queue Management' system. Instead of standing in a physical line, we could get a token on our phones and come back when it�s our turn. This would prevent the hallway from getting overcrowded.",Finance,Low
The 'Annual Report' on student welfare funds hasn't been posted in the lobby this year. We always like to see how the student activity fees are being utilized for campus events and sports equipment.,Finance,Low
The staff at the 'Information Desk' in the finance wing are sometimes a bit curt when we ask about refund timelines. A bit more patience with our queries would be appreciated.,Finance,Low
"Can we have a small bin specifically for the discarded challan carbon copies near the bank? People usually just leave them on the desks, which makes the area look quite untidy by the end of the day.",Finance,Low
"The 'Help' icon on the payment portal is broken. When you click it, nothing happens. It would be good if it linked to a support email for students facing technical issues during payment.",Finance,Low
Request for a few more ceiling fans in the accounts branch hallway. It gets very hot during the July fee submission week and the current ventilation isn't enough for the number of students standing in line.,Finance,Low
The 'Fee Due' alerts on the mobile app are sent at 2 AM. It�s a bit startling to get a notification in the middle of the night. Scheduling these for during the day would be a much better user experience.,Finance,Low
The 'Finance News' ticker on the lobby TV is moving too fast. It's almost impossible to read the scholarship dates before they scroll off the screen. Slowing it down by half would be very helpful.,Finance,Low
"Suggestion to allow 'Mobile Wallet' payments for the cafeteria and the small stationary shop on campus. Currently, they only take cash, which is a bit inconvenient for quick purchases.",Finance,Low
"The 'Scholarship Form' PDF is not editable. We have to print it out, fill it by hand, and then scan it again. Making it a fillable PDF form would be a much more modern and efficient way to handle the process.",Finance,Low
Request to move the 'Fee Deposit' box to a more visible location. It�s currently hidden behind a pillar and many new students miss it and end up standing in the wrong line just to drop off a cheque.,Finance,Low
The 'Transaction Receipt' we get via SMS doesn't include the student ID number. Adding that small detail would make it much easier to track the payment if there�s ever a dispute.,Finance,Low
"Can the university provide a small 'Finance Handbook' for the freshmen? It would be great to have all the bank details, payment dates, and refund policies in one place.",Finance,Low
The 'No Dues' stamp used by the office is very blurry. It�s hard to read the date and signature on the final clearance form. Replacing the old rubber stamp with a new one would make the document look more official.,Finance,Low
"Request for a few more staplers at the document submission desk. Students often forget to staple their challans to their registration forms, leading to lost papers. A few fixed staplers would prevent this.",Finance,Low
"The 'Finance Section' website takes a long time to load on mobile browsers. Since many of us check our balance on the go, a 'lite' version of the site would be very useful.",Finance,Low
Could the finance office post a 'Holiday List' on the main door? Sometimes we travel from far away only to find the bank and the accounts branch closed for a local festival. A clear schedule would save us the trip.,Finance,Low
The carpet in the waiting area of the accounts office is quite worn out and has a few trip hazards. It might be time to replace it with some easy-to-clean tiling or a new rug.,Finance,Low
Suggestion for a 'Feedback Box' specifically for the accounts department. It would be a nice way for students to share their experiences with the fee payment process and suggest improvements.,Finance,Low
The 'Instruction' stickers on the ATM are peeling off. It�s hard to see which slot is for the card and which is for the receipt. A fresh set of stickers would make the machine easier to use for new students.,Finance,Low
Can the finance office start sending 'Payment Successful' notifications via the university's official WhatsApp bot? It�s a more reliable way to keep a record than just relying on the website portal.,Finance,Low
The 'Privacy Screen' on the finance office counters is a bit too opaque. It�s hard to hear the staff through the glass. A small speaking hole or an intercom system would make communication much better.,Finance,Low
Request for a clock in the finance office waiting area. It helps us keep track of how long we�ve been waiting and ensures we don't miss our next lecture if the queue is moving slowly.,Finance,Low
LMS portal crashed ten minutes before the final project submission deadline. My entire group has been trying to upload our documentation and source code for the last hour but the server keeps timing out. This project is worth 40% of our final grade and the portal is supposed to close at midnight. We need an immediate extension or an alternative email address to send our files.,Academic,High
"Major discrepancy in my end-term marks for Data Structures. The portal shows I have failed the course, but I calculated my internals and they were well above the passing threshold. I suspect my paper was swapped or there was a massive data entry error at the controller�s office. I need to see my evaluated script immediately before the re-registration window closes tomorrow.",Academic,High
Clash in the final exam schedule for two core subjects. Both Operating Systems and Database Management are scheduled for tomorrow morning in the same time slot. I have raised this with the department clerk twice this week but the hall ticket still shows both. I cannot miss either exam as it will result in a year back. Please resolve this conflict and update my schedule now.,Academic,High
"Scholarship verification link is expiring today and my documents are still 'pending' at the HOD office. If the department doesn't digitally sign the verification by 5 PM, I will lose my funding for the next semester and won't be able to pay the tuition. I am standing outside the office but no one is available to help. This is time-critical for my education.",Academic,High
"Professor is refusing to accept my medical certificate for a missed mid-sem. I was hospitalized during the exam and have provided all the official hospital discharge papers and doctor's notes, but the instructor says he has already submitted the marks to the portal. I need the Academic Dean to intervene so I can sit for a make-up test before the semester ends.",Academic,High
"Incorrect grade assigned due to a clerical error in the mark sheet. My internal marks for the lab component were recorded as 0 out of 30, even though I attended every session and submitted all reports. This error has dropped my CGPA significantly, affecting my eligibility for the upcoming placement drive starting on Monday. Please fix the records urgently.",Academic,High
"The proctoring software for my online certification exam is failing to recognize my ID. I am currently in the 15-minute login window and if I don't get in now, the exam will be marked as a forfeit. I have tried three different browsers and restarted my system. I need a bypass code or technical support immediately to save my exam attempt.",Academic,High
Missing hall ticket for the external practicals starting tomorrow. My name is missing from the eligibility list even though I have no dues and 85% attendance. The lab assistant says he cannot let me perform the experiments without the official slip. Please verify my status and issue the hall ticket before the 9 AM batch starts.,Academic,High
"Final year thesis portal is not accepting the 'Turnitin' report. Every time I upload, it says 'Service Unavailable' but the deadline for the final submission is this evening. Without this report, my thesis won't be sent for external evaluation. I need the IT coordinator to reset my submission link or verify the server status immediately.",Academic,High
Wrong question paper distributed during the current minor exam. We are sitting in the hall for 'Theory of Computation' but the paper provided is for 'Compiler Design'. The invigilator is not allowing us to leave or talk. This is wasting our limited time and causing immense stress. Someone from the academics cell needs to bring the correct papers now.,Academic,High
"Digital signature failed on my provisional degree certificate. I need this document for a visa interview scheduled for tomorrow morning. The copy I downloaded has an 'Invalid' watermark on the university seal. I need a corrected, verified PDF sent to my registered email within the next hour.",Academic,High
"Attendance portal shows 'Shortage' despite attending all remedial classes. I was told these extra sessions would clear my debarment, but the system hasn't updated and I am being blocked from downloading my end-term admit card. The exams start the day after tomorrow. I need a manual override from the department head.",Academic,High
"Credit transfer from my MOOC course was rejected without reason. I completed the NPTEL certification as per the university guidelines to replace a core elective. Today is the last day to finalize credits for the graduation list. If this isn't added, I won't have enough credits to graduate this year. Urgent review requested.",Academic,High
"The lab evaluation for the afternoon batch was cancelled due to a power cut but the marks have been uploaded as 'Absent'. We were told the viva would be rescheduled, but the portal is already finalized. We need the marks removed and the session rescheduled before the internal marks are frozen tonight.",Academic,High
SSO login loop preventing access to the course selection portal. The elective registration opened at 10 AM and the popular courses are filling up in minutes. I am stuck on the login screen while my peers are already finishing their selections. This is unfair and I need my account access restored before all seats are gone.,Academic,High
"Harassment from a faculty member during the viva-voce. The examiner was making personal comments and used unprofessional language, then threatened to fail me regardless of my answers. I want to lodge a formal complaint and request a re-evaluation with a different panel before the results are finalized.",Academic,High
Plagiarism flag on a completely original assignment. The software claims 90% similarity with a paper that doesn't exist. The professor has given me a 'zero' and reported me to the disciplinary committee. I have a hearing tomorrow and I need the raw log files from the academic server to prove it was a system glitch.,Academic,High
"University email account deactivated during the job application window. I am expecting interview invites and test links on my student ID, but I can't log in. This is the peak of placement season and being locked out for even a day could cost me a job. Please reactivate the account immediately.",Academic,High
"Payment for the backlog exam was deducted but the status is still 'Unpaid'. The registration portal closes in two hours. If I don't get the confirmation, I won't be able to sit for the carry-over paper this semester. I have the bank transaction ID and need a manual update to my profile.",Academic,High
Course coordinator changed the project requirements 24 hours before the submission. We have spent two months on the original brief and it is impossible to redo the entire architecture in one day. This will lead to a mass failure for the entire batch. We need the original rubric restored or a one-week extension.,Academic,High
"Lost my physical answer script for the internal test. The teacher says she doesn't have it, but I signed the attendance sheet in the exam hall. I refuse to take a zero for a mistake made by the department. We need to find the paper or allow me a retest with full marks potential.",Academic,High
Calculated SGPA on the result portal is mathematically incorrect. It shows a 6.5 when it should be an 8.2 based on the grades displayed. This is a critical error in the portal's logic that is affecting the entire branch's ranking. Please pause the results and recalculate before the official transcripts are printed.,Academic,High
The link for the online end-term viva is not working. There are 20 students waiting in the virtual lobby but the external examiner is not present and the link says 'Meeting Ended'. This was our only chance to finish the lab component. We need a new link and a status update now.,Academic,High
"Security token for the academic portal is not being sent to my phone. I need to register for the supplementary exams by tonight. Without the OTP, I can't even enter the site. I've tried multiple times and checked my network. Please send the code to my email instead.",Academic,High
Degree name is misspelled on the final convocation list. It says 'BTech CSE' instead of 'BTech CSE (AI & ML)'. I have paid for the specialized degree and this must be corrected before the certificates go to print this afternoon.,Academic,High
"The reference books mentioned in the syllabus are not available in the central library. There is only one copy for a batch of 120 students, and it has been issued for the last month. We have a research paper due next week and cannot complete the bibliography. Please order more copies or provide an e-book link.",Academic,Medium
Inconsistency in the lecture schedule for the third-floor seminar hall. Sometimes the class is moved to a different block without any notice on the portal or the notice board. We waste 15 minutes of the lecture just wandering around looking for the professor. Can we have a stabilized timetable?,Academic,Medium
The microphone in LT-2 is constantly buzzing during the Advanced Algorithms class. We can barely hear the professor's explanations from the back rows. This has been an issue for two weeks and the technician hasn't fixed it despite several verbal complaints. It�s affecting our understanding of complex topics.,Academic,Medium
Internal marks for the Python lab have not been uploaded even though the semester is almost over. We have no idea where we stand in terms of our internals and it�s making it hard to prioritize our study plan for the finals. Can the department ensure the instructor updates the portal by this Friday?,Academic,Medium
The elective 'Cloud Computing' was cancelled after we already attended three lectures. Now we are being told to choose a different course that clashes with our existing lab sessions. The academic office needs to provide a better alternative or adjust the lab timings to accommodate us.,Academic,Medium
"Professor is taking extra classes during the lunch break every day. We don't have enough time to eat or refresh between the morning and afternoon sessions. While we appreciate the extra help, it�s becoming physically draining. Can these sessions be moved to the official 'zero' hour?",Academic,Medium
The study material provided on the LMS for 'Theory of Computation' is just a series of scanned images that are unreadable. We cannot search for keywords or use screen readers. Could the department provide proper digital PDFs or a standard textbook reference that matches the slides?,Academic,Medium
Waitlist for the 'Machine Learning' elective hasn't moved in two weeks. I am at position #2 and there are several students who have dropped the course. The system isn't automatically pulling people from the waitlist into the enrolled list. Please manually update the roster.,Academic,Medium
The rubric for the final year project is very vague. We don't know the weightage for the implementation versus the documentation. Different guides are telling us different things. We need a standardized evaluation sheet so we can prepare our presentation accordingly.,Academic,Medium
"The air conditioning in the main computer lab is not working. With 60 systems running, the room gets incredibly hot and the computers are starting to lag due to thermal throttling. It�s hard to focus on our coding assignments for more than 30 minutes. Please repair the cooling system.",Academic,Medium
Feedback for the first assignment was never provided. We have already submitted the second assignment without knowing what we did wrong in the first one. This defeats the purpose of continuous evaluation. Please ask the TA to release the comments and marks as soon as possible.,Academic,Medium
"The guest lecture series on 'Blockchain' was scheduled during our mid-term week. Most of us couldn't attend because we were studying. Since this was a mandatory part of our professional development credits, can the recordings be uploaded to the portal?",Academic,Medium
Request for a change in the lab partner for the OS project. My current partner has not attended a single session and is not responding to any communications. I cannot finish the multi-threaded application alone. I would like to join another group or work solo if possible.,Academic,Medium
"The industrial visit planned for this semester has been postponed three times. We have already paid the registration fee and arranged for our own transport to the hub. We need a clear, final date and an itinerary, or a full refund of the collected fees.",Academic,Medium
"The software required for the 'Digital Image Processing' lab is not installed on the systems. We were told it would be ready by the second week, but we are still using trial versions that expire every few days. This is interrupting our practical work.",Academic,Medium
"The academic calendar on the website is different from the one sent via email. One shows the mid-semester break starting next Monday, while the other shows it starting the following Friday. We need a clarification so we can book our travel tickets home.",Academic,Medium
The projector in Room 402 has a very dim lamp. The slides are barely visible even with the lights turned off. This is a core theory room and we have four lectures there every day. Please replace the bulb or the projector unit.,Academic,Medium
"My attendance for the 'Professional Communication' class was marked 'Absent' for the entire last week, even though I was present. I checked the manual register and my signature is there. The faculty says I need to contact the portal admin to get it corrected.",Academic,Medium
The question bank provided for the 'Microprocessor' course contains several errors in the solved examples. Students are getting confused while practicing for the internals. Can a corrected version be vetted by a senior faculty member and re-uploaded?,Academic,Medium
"The 'Add/Drop' link for courses is not appearing on my student dashboard. My friends are able to see it and change their electives, but my page just shows an error. I need to swap one of my subjects before the deadline on Wednesday.",Academic,Medium
Request for a special doubt-clearing session for 'Discrete Mathematics'. The last few topics like Graph Theory were covered very quickly and most of the batch is struggling with the practice problems. A two-hour weekend session would be very helpful.,Academic,Medium
